rider_name_id,rider_name,nationality,team_name,ranking
81,van_der_poel_mathieu,nl,alpecin-deceuninck ,wt
82,dillier_silvan,ch,alpecin-deceuninck ,wt
83,gogl_michael,at,alpecin-deceuninck ,wt
84,hermans_quinten,be,alpecin-deceuninck ,wt
85,kragh_andersen_søren,dk,alpecin-deceuninck ,wt
86,philipsen_jasper,be,alpecin-deceuninck ,wt
87,rickaert_jonas,be,alpecin-deceuninck ,wt
88,sinkeldam_ramon,nl,alpecin-deceuninck ,wt
89,girmay_biniam,er,intermarché - circus - wanty ,wt
90,calmejane_lilian,fr,intermarché - circus - wanty ,wt
91,costa_rui,pt,intermarché - circus - wanty ,wt
92,meintjes_louis,za,intermarché - circus - wanty ,wt
93,petit_adrien,fr,intermarché - circus - wanty ,wt
94,smith_dion,nz,intermarché - circus - wanty ,wt
95,teunissen_mike,nl,intermarché - circus - wanty ,wt
96,zimmermann_georg,de,intermarché - circus - wanty ,wt
97,martin_guillaume,fr,cofidis ,wt
98,coquard_bryan,fr,cofidis ,wt
99,geschke_simon,de,cofidis ,wt
100,izagirre_ion,es,cofidis ,wt
101,lafay_victor,fr,cofidis ,wt
102,perez_anthony,fr,cofidis ,wt
103,renard_alexis,fr,cofidis ,wt
104,zingle_axel,fr,cofidis ,wt
105,mas_enric,es,movistar team ,wt
106,guerreiro_ruben,pt,movistar team ,wt
107,aranburu_alex,es,movistar team ,wt
108,izagirre_gorka,es,movistar team ,wt
109,jorgenson_matteo,us,movistar team ,wt
110,mühlberger_gregor,at,movistar team ,wt
111,oliveira_nelson,pt,movistar team ,wt
112,pedrero_antonio,es,movistar team ,wt
113,bardet_romain,fr,team dsm - firmenich ,wt
114,degenkolb_john,de,team dsm - firmenich ,wt
115,dinham_matthew,au,team dsm - firmenich ,wt
116,edmondson_alex,au,team dsm - firmenich ,wt
117,eekhoff_nils,nl,team dsm - firmenich ,wt
118,hamilton_chris,au,team dsm - firmenich ,wt
119,vermaerke_kevin,us,team dsm - firmenich ,wt
120,welsford_sam,au,team dsm - firmenich ,wt
121,woods_michael,ca,israel - premier tech ,prt
122,boivin_guillaume,ca,israel - premier tech ,prt
123,clarke_simon,au,israel - premier tech ,prt
124,houle_hugo,ca,israel - premier tech ,prt
125,neilands_krists,lv,israel - premier tech ,prt
126,schultz_nick,au,israel - premier tech ,prt
127,strong_corbin,nz,israel - premier tech ,prt
128,teuns_dylan,be,israel - premier tech ,prt
129,yates_simon,gb,team jayco alula ,wt
130,craddock_lawson,us,team jayco alula ,wt
131,durbridge_luke,au,team jayco alula ,wt
132,groenewegen_dylan,nl,team jayco alula ,wt
133,harper_chris,au,team jayco alula ,wt
134,juul-jensen_christopher,dk,team jayco alula ,wt
135,mezgec_luka,si,team jayco alula ,wt
136,reinders_elmar,nl,team jayco alula ,wt
137,barguil_warren,fr,team arkéa samsic ,wt
138,biermans_jenthe,be,team arkéa samsic ,wt
139,champoussin_clément,fr,team arkéa samsic ,wt
140,delaplace_anthony,fr,team arkéa samsic ,wt
141,guglielmi_simon,fr,team arkéa samsic ,wt
142,louvel_matis,fr,team arkéa samsic ,wt
143,mozzato_luca,it,team arkéa samsic ,wt
144,pichon_laurent,fr,team arkéa samsic ,wt
145,ewan_caleb,au,lotto dstny ,prt
146,campenaerts_victor,be,lotto dstny ,prt
147,de_buyst_jasper,be,lotto dstny ,prt
148,eenkhoorn_pascal,nl,lotto dstny ,prt
149,frison_frederik,be,lotto dstny ,prt
150,guarnieri_jacopo,it,lotto dstny ,prt
151,van_gils_maxim,be,lotto dstny ,prt
152,vermeersch_florian,be,lotto dstny ,prt
153,cavendish_mark,gb,astana qazaqstan team ,wt
154,bol_cees,nl,astana qazaqstan team ,wt
155,de_la_cruz_david,es,astana qazaqstan team ,wt
156,fedorov_yevgeniy,kz,astana qazaqstan team ,wt
157,lutsenko_alexey,kz,astana qazaqstan team ,wt
158,moscon_gianni,it,astana qazaqstan team ,wt
159,sánchez_luis_león,es,astana qazaqstan team ,wt
160,tejada_harold,co,astana qazaqstan team ,wt
161,kristoff_alexander,no,uno-x pro cycling team ,prt
162,abrahamsen_jonas,no,uno-x pro cycling team ,prt
163,charmig_anthon,dk,uno-x pro cycling team ,prt
164,johannessen_tobias_halland,no,uno-x pro cycling team ,prt
165,tiller_rasmus,no,uno-x pro cycling team ,prt
166,træen_torstein,no,uno-x pro cycling team ,prt
167,wærenskjold_søren,no,uno-x pro cycling team ,prt
168,gregaard_jonas,dk,uno-x pro cycling team ,prt
169,sagan_peter,sk,totalenergies ,prt
170,boasson_hagen_edvald,no,totalenergies ,prt
171,burgaudeau_mathieu,fr,totalenergies ,prt
172,cras_steff,be,totalenergies ,prt
173,ferron_valentin,fr,totalenergies ,prt
174,latour_pierre,fr,totalenergies ,prt
175,oss_daniel,it,totalenergies ,prt
176,turgis_anthony,fr,totalenergies ,prt
